County,Tabulator,Batch,. of Ballots,Location
Douglas,1,PRI-0633,100,73
Douglas,1,PRI-0634,100,73
Douglas,1,PRI-0635,100,18
Douglas,1,PRI-0636,100,75
Douglas,1,PRI-0637,100,73
Douglas,1,PRI-0638,100,73
Douglas,1,PRI-0639,100,50
Douglas,1,PRI-0640,46,18
Douglas,1,PRI-0641,100,48
Douglas,1,PRI-0642,99,18
Douglas,1,PRI-0643,100,30
Douglas,1,PRI-0644,100,18
Douglas,1,PRI-0645,100,50
Douglas,1,PRI-0646,88,30
Douglas,1,PRI-0647,56,30
Douglas,1,PRI-0648,100,18
Douglas,1,PRI-0649,100,32
Douglas,1,PRI-0650,100,48
Douglas,1,PRI-0651,100,48
Douglas,1,PRI-0652,100,72
Douglas,1,PRI-0653,100,48
Douglas,1,PRI-0654,100,73
Douglas,1,PRI-0655,100,73
Douglas,1,PRI-0656,100,18
Douglas,1,PRI-0657,100,18
Douglas,1,PRI-0658,100,73
Douglas,1,PRI-0659,100,30
Douglas,1,PRI-0660,100,73
Douglas,1,PRI-0661,81,48
Douglas,1,PRI-0662,100,73
Douglas,1,PRI-0663,66,30
Douglas,1,PRI-0664,100,30
Douglas,1,PRI-0665,100,48
Douglas,1,PRI-0666,100,18
Douglas,1,PRI-0667,100,48
Douglas,1,PRI-0668,100,18
Douglas,1,PRI-0669,100,48
Douglas,1,PRI-0670,100,48
Douglas,1,PRI-0671,99,19
Douglas,1,PRI-0672,94,48
Douglas,1,PRI-0673,91,32
Douglas,1,PRI-0674,100,50
Douglas,1,PRI-0675,100,33
Douglas,1,PRI-0676,100,50
Douglas,1,PRI-0677,100,19
Douglas,1,PRI-0678,100,19
Douglas,1,PRI-0679,100,19
Douglas,1,PRI-0680,100,33
Douglas,1,PRI-0681,100,33
Douglas,1,PRI-0682,80,19
Douglas,1,PRI-0683,100,50
Douglas,1,PRI-0684,54,33
Douglas,1,PRI-0685,80,50
Douglas,1,PRI-0686,100,75
Douglas,1,PRI-0687,100,50
Douglas,1,PRI-0688,100,50
Douglas,1,PRI-0689,100,33
Douglas,1,PRI-0690,100,33
Douglas,1,PRI-0691,100,75
Douglas,1,PRI-0692,99,75
Douglas,1,PRI-0693,100,75
Douglas,1,PRI-0694,100,75
Douglas,1,PRI-0695,100,33
Douglas,1,PRI-0696,100,19
Douglas,1,PRI-0697,100,75
Douglas,1,PRI-0698,100,50
Douglas,1,PRI-0699,60,19
Douglas,1,PRI-0700,100,33
Douglas,1,PRI-0701,85,19
Douglas,1,PRI-0702,100,33
Douglas,1,PRI-0703,100,75
Douglas,1,PRI-0704,100,75
Douglas,1,PRI-0705,100,75
Douglas,1,PRI-0706,100,33
Douglas,1,PRI-0707,100,19
Douglas,1,PRI-0708,100,33
Douglas,1,PRI-0709,100,50
Douglas,1,PRI-0710,100,52
Douglas,1,PRI-0711,74,33
Douglas,1,PRI-0712,66,75
Douglas,1,PRI-0713,100,33
Douglas,1,PRI-0714,100,33
Douglas,1,PRI-0715,100,19
Douglas,1,PRI-0716,100,52
Douglas,1,PRI-0717,62,52
Douglas,1,PRI-0718,100,19
Douglas,1,PRI-0719,100,50
Douglas,1,PRI-0720,100,75
Douglas,1,PRI-0721,100,52
Douglas,1,PRI-0722,100,75
Douglas,1,PRI-0723,100,75
Douglas,1,PRI-0724,100,19
Douglas,1,PRI-0725,100,19
Douglas,1,PRI-0726,100,33
Douglas,1,PRI-0727,100,52
Douglas,1,PRI-0728,50,19
Douglas,1,PRI-0729,100,60
Douglas,1,PRI-0730,100,60
Douglas,1,PRI-0731,100,60
Douglas,1,PRI-0732,100,60
Douglas,1,PRI-0733,100,19
Douglas,1,PRI-0734,100,60
Douglas,1,PRI-0735,100,60
Douglas,1,PRI-0736,63,60
Douglas,1,PRI-0737,100,60
Douglas,1,PRI-0738,100,60
Douglas,1,PRI-0739,100,60
Douglas,1,PRI-0740,100,60
Douglas,1,PRI-0741,100,75
Douglas,1,PRI-0742,100,60
Douglas,1,PRI-0743,100,78
Douglas,1,PRI-0744,100,75
Douglas,1,PRI-0745,100,19
Douglas,1,PRI-0746,51,60
Douglas,1,PRI-0747,62,75
Douglas,1,PRI-0748,100,77
Douglas,1,PRI-0749,100,60
Douglas,1,PRI-0750,100,60
Douglas,1,PRI-0751,100,77
Douglas,1,PRI-0752,100,75
Douglas,1,PRI-0753,100,75
Douglas,1,PRI-0754,100,77
Douglas,1,PRI-0755,100,77
Douglas,1,PRI-0756,100,52
Douglas,1,PRI-0757,77,77
Douglas,1,PRI-0758,64,19
Douglas,1,PRI-0759,100,75
Douglas,1,PRI-0760,100,77
Douglas,1,PRI-0761,100,77
Douglas,1,PRI-0762,90,55
Douglas,1,PRI-0763,100,77
Douglas,1,PRI-0764,100,77
Douglas,1,PRI-0765,100,77
Douglas,1,PRI-0766,100,77
Douglas,1,PRI-0767,100,75
Douglas,1,PRI-0768,100,77
Douglas,1,PRI-0769,53,60
