County,Tabulator,Batch #,# of ballots,Location
Adams,109,12,100,Box 109-1
Adams,109,13,99,Box 109-1
Adams,109,14,100,Box 109-1
Adams,109,15,100,Box 109-1
Adams,109,16,100,Box 109-2
Adams,109,17,100,Box 109-2
Adams,109,18,100,Box 109-2
Adams,109,19,100,Box 109-2
Adams,109,20,100,Box 109-2
Adams,109,21,99,Box 109-2
Adams,109,22,99,Box 109-2
Adams,109,23,100,Box 109-2
Adams,109,24,100,Box 109-2
Adams,109,25,99,Box 109-2
Adams,109,26,100,Box 109-2
Adams,109,27,100,Box 109-2
Adams,109,28,100,Box 109-2
Adams,109,29,100,Box 109-2
Adams,109,30,100,Box 109-2
Adams,109,31,100,Box 109-3
Adams,109,32,100,Box 109-3
Adams,109,33,100,Box 109-3
Adams,109,34,100,Box 109-3
Adams,109,35,100,Box 109-3
Adams,109,36,99,Box 109-3
Adams,109,37,100,Box 109-3
Adams,109,38,100,Box 109-3
Adams,109,39,100,Box 109-3
Adams,109,40,100,Box 109-3
Adams,109,41,100,Box 109-3
Adams,109,42,99,Box 109-3
Adams,109,43,100,Box 109-3
Adams,109,44,100,Box 109-3
Adams,109,45,99,Box 109-3
Adams,109,46,100,Box 109-4
Adams,109,47,100,Box 109-4
Adams,109,48,100,Box 109-4
Adams,109,49,100,Box 109-4
Adams,109,50,100,Box 109-4
Adams,109,51,99,Box 109-4
Adams,109,52,100,Box 109-4
Adams,109,53,100,Box 109-4
Adams,109,54,99,Box 109-4
Adams,109,55,100,Box 109-4
Adams,109,56,76,Box 109-4
Adams,109,57,99,Box 109-4
Adams,109,58,100,Box 109-4
Adams,109,59,100,Box 109-4
Adams,109,60,100,Box 109-4
Adams,109,61,100,Box 109-5
Adams,109,62,99,Box 109-5
Adams,109,63,100,Box 109-5
Adams,109,64,100,Box 109-5
Adams,109,65,100,Box 109-5
Adams,109,66,97,Box 109-5
Adams,109,67,100,Box 109-5
Adams,109,68,88,Box 109-5
Adams,109,69,100,Box 109-5
Adams,109,70,100,Box 109-5
Adams,109,71,99,Box 109-5
Adams,109,72,100,Box 109-5
Adams,109,73,100,Box 109-5
Adams,109,74,100,Box 109-5
Adams,109,75,100,Box 109-5
Adams,109,76,100,Box 109-6
Adams,109,77,100,Box 109-6
Adams,109,78,100,Box 109-6
Adams,109,79,100,Box 109-6
Adams,109,80,100,Box 109-6
Adams,109,81,100,Box 109-6
Adams,109,82,138,Box 109-6
Adams,109,83,100,Box 109-6
Adams,109,84,100,Box 109-6
Adams,109,85,100,Box 109-6
Adams,109,86,100,Box 109-6
Adams,109,87,100,Box 109-6
Adams,109,88,100,Box 109-6
Adams,109,89,100,Box 109-6
Adams,109,90,100,Box 109-6
Adams,109,91,100,Box 109-7
Adams,109,92,100,Box 109-7
Adams,109,93,99,Box 109-7
Adams,109,94,100,Box 109-7
Adams,109,95,100,Box 109-7
Adams,109,96,100,Box 109-7
Adams,109,97,99,Box 109-7
Adams,109,98,100,Box 109-7
Adams,109,99,100,Box 109-7
Adams,109,100,100,Box 109-7
Adams,109,101,100,Box 109-7
Adams,109,102,100,Box 109-7
Adams,109,103,157,Box 109-7
Adams,109,104,99,Box 109-7
Adams,109,105,99,Box 109-7
Adams,109,106,100,Box 109-8
Adams,109,107,100,Box 109-8
Adams,109,108,99,Box 109-8
Adams,109,109,100,Box 109-8
Adams,109,110,100,Box 109-8
Adams,109,111,100,Box 109-8
Adams,109,112,100,Box 109-8
Adams,109,113,99,Box 109-8
Adams,109,114,99,Box 109-8
Adams,109,115,100,Box 109-8
Adams,109,116,100,Box 109-8
Adams,109,117,100,Box 109-8
Adams,109,118,100,Box 109-8
Adams,109,119,100,Box 109-8
Adams,109,120,100,Box 109-8
Adams,109,121,100,Box 109-9
Adams,109,122,100,Box 109-9
Adams,109,123,100,Box 109-9
Adams,109,124,100,Box 109-9
Adams,109,125,100,Box 109-9
Adams,109,126,100,Box 109-9
Adams,109,127,100,Box 109-9
Adams,109,128,100,Box 109-9
Adams,109,129,100,Box 109-9
Adams,109,130,100,Box 109-9
Adams,109,131,100,Box 109-9
Adams,109,132,100,Box 109-9
Adams,109,133,100,Box 109-9
Adams,109,134,100,Box 109-9
Adams,109,135,100,Box 109-9
Adams,109,136,99,Box 109-10
