county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id,audit_reason,discrepancy
Adams,Adams 12 Five Star School District Director District No 1,106-44-43,48,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:50:33.970,1210220,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-48-4,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:51:10.190,1212981,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-52-21,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:54:03.990,1215170,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-52-92,32,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 09:54:50.700,1215117,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-64-76,45,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 09:59:00.250,1221262,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-69-74,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:00:51.700,1224556,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-71-49,45,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:02:07.010,1225738,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-73-58,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:03:45.470,1226787,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,0106-08-15,48,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:56:57.710,1188124,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-83-74,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:07:12.550,1235237,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-84-43,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:08:06.830,1235968,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-88-41,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:11:55.370,1238546,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-91-90,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:13:41.000,1240407,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-95-73,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:15:15.640,1243575,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,107-110-1,37,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 11:30:30.380,1270479,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,107-111-82,34,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 11:31:10.610,1271215,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,107-116-27,38,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 11:33:47.230,1275161,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,107-12-33,32,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 11:02:48.770,1208873,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,107-129-11,35,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:20:35.930,1285928,,FALSE
