County,Tabulator ID,Batch,# of Ballots,Location,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,308,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,309,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,310,24,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,311,25,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,312,24,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,313,17,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,314,16,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,315,30,Box 7,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,316,29,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,317,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,318,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,319,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,320,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,321,28,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,322,23,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,323,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,324,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,325,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,326,22,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,327,26,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,328,28,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,329,27,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,330,26,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,331,20,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,332,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,333,24,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,334,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,335,25,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,336,16,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,337,24,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,338,24,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,339,18,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,340,26,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,341,18,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,342,14,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,343,20,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,344,20,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,345,15,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,346,20,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,347,20,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,348,21,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,349,20,Box 8,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,350,25,Box 8,,,,,,,,,,,,,,,,,,,,,
